"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial28" 31823.577736325 4594.0532018831 2191.92222528946 1193.12867790718 717.620031315601 439.383510163462 314.095216481145 241.11989526583 201.231029074915 177.892066140496 167.91859046188 165.919565004079 158.290415329931
"trial29" 31091.67553236 4624.16883942923 2188.02488998966 1246.26525823292 740.390340263102 455.817684643564 318.64707392786 233.611338726427 201.37444190276 180.611906314318 171.179250797956 165.14981995462 152.203350054399
"trial30" 31338.9128145252 4521.91284040019 2152.8682407818 1258.51561605034 735.450455507215 454.066756987389 300.555351438138 235.904778003682 200.007664623417 180.573390503828 166.655988130063 158.466638445755 153.823582179236
"trial31" 31706.3380605117 4633.11731431401 2180.83718501475 1260.15385440158 761.610812357798 455.505619759861 319.828479171829 239.97896542137 199.649429165522 179.642619904323 160.509993659974 159.743621150342 150.126864749948
"trial32" 31573.7517670177 4547.48204924553 2176.95494211935 1227.4464912365 748.803753777857 454.072165253921 301.943367611784 234.190342898235 208.136170301117 186.345362766543 174.921915732185 162.365455543013 159.268837633879
"trial33" 31413.3015176904 4514.47154466278 2205.05935975828 1235.34052708581 739.210789231853 451.892052403583 304.472880365084 230.369816064759 202.984751465189 179.110170544243 167.67251889071 160.161450454055 155.896725963478
"trial34" 31300.1104334704 4592.25710243459 2200.52014110548 1243.33144318913 736.536609906439 432.056977337154 302.449076683527 238.287408913782 200.616101521596 175.338082039903 167.428521857483 166.090885239013 157.882632007652
"trial35" 31543.4519305122 4509.0671748746 2136.24099123683 1242.12936762023 757.318061972188 469.740284644467 310.961557318912 239.678887478886 203.744761988474 183.411627278648 169.13339361578 159.040337758574 156.968697980901
"trial36" 31581.4260141965 4477.04636817606 2172.52588499455 1206.15451099844 714.77057886723 444.866673646104 306.582784749698 248.468917085227 204.939749754612 179.003710007669 164.623857023891 164.418054007752 154.519240089183
"trial37" 31613.1970752984 4626.92281270711 2155.91109443077 1260.09842136965 724.514304429733 460.966332393238 316.038175210585 241.026471978611 200.955944575122 180.591289066282 169.856407267732 161.282224358487 160.49750509535
"trial38" 31515.9376108561 4560.12248357471 2110.42375507904 1186.71317832707 722.851039190375 430.693048483442 305.838282737785 244.490864125943 205.014741979521 186.878495738373 176.690236852989 168.020771768588 158.516888448085
"trial39" 31579.5820508087 4500.26768348445 2145.67318992766 1242.4959167018 718.227534330998 432.158014640654 309.611489006046 235.117335992017 199.719933459223 178.582577399915 168.2505868464 163.785026894727 158.829788740547
"trial40" 31699.7678636956 4534.89552112973 2145.06569450683 1211.86795275049 735.641995542692 443.7907014227 310.031601906653 236.342564419002 196.869190349682 178.915373834035 165.011107826812 165.149039872378 159.549882835534
"trial41" 31488.6452699187 4553.26188925342 2174.19526815905 1223.72467164939 744.202895846718 454.230312288471 300.173891621313 238.64680636877 199.734074123072 186.951057862664 168.926192600594 157.341289165719 151.153968478368
"trial42" 31276.2818961826 4658.56873274609 2204.02115763201 1282.22293004639 749.267266504868 453.066341205783 304.624403607569 230.879306460713 203.443438262856 184.124814484519 168.324052605587 159.828971203872 156.427811539903
"trial43" 31524.3642766363 4577.12149289554 2156.42705839695 1211.92862182337 745.469435446384 469.47195999932 309.094041321293 242.279516555224 195.118846804469 1 165.180774634966 156.942927416537 155.485094055667
"trial44" 31515.1275720137 4624.32953146027 2129.76471400324 1204.12393843512 740.002943778089 452.10627270751 300.381479510754 241.115245236427 212.035700598769 184.352629631511 172.720827537105 161.780256911204 162.100452627777
"trial45" 31492.3187642558 4561.97597143103 2175.58862145649 1220.69676351473 725.409865862314 455.925003391439 308.530899361975 234.624394696853 199.144833906023 184.908333206356 165.853873619399 160.43858389621 158.308034643393
"trial46" 31552.313882369 4580.25914479673 2168.21800381235 1236.87652731282 740.29393658597 465.412641212759 321.478352282375 239.314924189249 202.328787400406 178.801222917502 168.086697360853 161.750434200652 159.031948068091
"trial47" 31230.7709617474 4617.30677025811 2174.42870392315 1253.27852374645 733.937326374104 463.368609043451 317.687697239574 239.481955299315 198.312420875217 176.541274781298 165.686547981968 157.186081598989 155.548372003496
"trial48" 31512.500915793 4567.20428045213 2178.57767991204 1260.88993395041 725.437226362965 462.0215478444 295.70888690552 235.072928089272 197.279448381028 1 172.274924137863 165.660637146113 157.826255918194
"trial49" 31229.7525190986 4486.49573204956 2212.00929644086 1249.69463979973 731.358178135276 461.228427704535 319.579874836208 240.632603405374 202.430711204385 183.704546943577 171.151558155937 164.179738403037 158.324885998112
"trial50" 31593.9893585465 4619.04764736765 2164.58544863692 1242.24368048699 745.062046778076 456.445225624096 315.760194089164 245.360847710438 209.047680755429 184.790656768405 167.825038448843 166.027392235353 156.942202979176
