"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial11" 4107.64318181745 5441.60129371654 5829.19964907907 6027.60182423123 6157.47396305079 6240.43864940442 6296.76346959721 6333.14115350744 6356.69315272094 6374.08209326544 6383.02745106442 6391.69852763085 6401.30470393707
"trial12" 4094.69512900576 5446.32319775692 5828.45991637634 6032.92942461827 6153.73532432976 6242.66986790263 6298.44564312911 6334.28846887658 6357.49795701144 6371.90610919262 6382.9936841217 6392.38308000971 6398.46448685941
"trial13" 4080.86653070917 5448.94655435732 5834.89347877272 6032.41559617495 6154.86172324932 6246.01595185206 6303.34201664326 6333.41361635635 6353.20493025942 6370.51765720379 6385.6658320263 6397.89142324911 6401.5918373729
"trial14" 4093.86212446071 5445.83478874801 5832.27010610587 6030.17223796241 6157.30972136512 6243.76205049757 6300.90462659734 6336.79893815088 6362.78174212235 6377.74247500514 6385.84268523359 6395.56972914519 6402.65992409121
"trial15" 4092.43717001601 5440.56504270583 5831.88137220831 6029.61155674108 6157.89821877281 6243.39992185922 6299.90232745119 6337.01515654788 6359.19109316605 6372.70173077979 6382.65712453243 6392.13467275652 6399.42574415385
"trial16" 4103.59257318114 5447.13561595216 5819.7396326096 6029.37073821445 6157.99383083787 6247.23583234075 6299.9610640661 6340.81346264866 6359.7031265735 6379.383160012 6384.92052549648 6394.8701190012 6402.08206151036
"trial17" 4101.64940791585 5447.37137980393 5830.53743305177 6031.43797794071 6156.3566527379 6243.26144655811 6296.03363125775 6334.51367211228 6356.57263114703 6370.9575784841 6383.61026539624 6392.46670257897 6397.86651113798
"trial18" 4094.17244017784 5446.18416092887 5831.92518858646 6032.23221280037 6159.06390671572 6240.08481693824 6296.29098274833 6333.42804176417 6358.98823385395 6375.78262821502 6386.09464968754 6394.51312243567 6400.71920244432
"trial19" 4078.52073806672 5438.33117219519 5823.65473606617 6022.84854058891 6153.26122540412 6246.2156160876 6299.36179185963 6338.74135426585 6358.40455284323 6376.41745090304 6384.85802447778 6393.60341619594 6397.84647131611
"trial20" 4096.93823910962 5440.37851695713 5816.84831759541 6026.20084749597 6153.39174110015 6240.17917393369 6300.74446925015 6335.25182026084 6360.25563601758 6377.73477918012 6385.41320720242 6395.68622055739 6403.37371281886
"trial21" 4097.19274477929 5443.43780812152 5829.110097869 6029.51603581862 6146.74024599711 6236.74764129727 6301.59474910053 6332.5326841871 6356.22449126037 6373.36649598038 6382.19424597783 6393.24174133747 6396.86122454837
"trial22" 4101.43199450729 5449.79931408193 5831.0259183991 6028.51339931782 6151.42050686216 6239.51864235188 6296.28549056894 6333.6917197586 6428.55197070415 6371.91855215261 6384.86031327656 6391.53132248887 6399.71691918595
"trial23" 4086.600126147 5444.8451720243 5824.19816423348 6025.91982353474 6152.73177126854 6240.79269979592 6297.21839169777 6331.8173416995 6356.67464707293 6373.05171791224 6382.89430594267 6392.63754601577 6398.033902771
"trial24" 4084.39516978006 5447.56717512496 5825.68536400635 6027.2843641038 6159.41362283395 6242.56577579669 6297.53254584264 6335.58690718486 6358.05789307677 6373.32065349787 6382.26591673045 6395.97123996074 6399.74651460564
"trial25" 4090.35506058454 5446.96913191677 5829.80497544569 6025.26266130635 6154.19573209784 6241.7484195526 6292.63023614782 6331.24071019787 6354.90923417147 6372.51390153039 6384.92742444331 6391.58447729662 6395.8708984394
"trial26" 4089.8816898616 5452.03943767772 5832.3167377935 6030.30734701993 6154.06177860332 6239.59415232109 6301.28059373252 6335.20054474745 6361.9829608151 6374.08084497515 6383.30323159812 6393.86214033867 6399.01305906388
"trial27" 4092.95674586803 5450.97486334845 5822.60159443855 6027.82685459128 6153.97507194982 6240.11252597964 6295.42399090085 6337.84459859168 6356.92967973869 6375.16742665402 6386.75756647364 6394.8659545308 6400.0021996512
"trial28" 4083.2547417772 5445.93598436913 5825.60046650461 6032.10003282017 6158.33081457327 6241.96186841623 6298.33247521874 6333.16473555528 6356.7757272364 6375.72347394252 6387.00807612712 6392.29857464506 6400.3793984264
