"m=20" "m=40" "m=60" "m=80" "m=100" "m=120" "m=140" "m=160" "m=180" "m=200" "m=220" "m=240" "m=260"
"trial29" -20.0595885465593 320.46579955348 447.727175002563 507.631398038476 545.174135106176 563.127679796255 575.667275987755 580.612645012861 583.848991760005 -7.20373265768602 588.649157902691 592.657334115448 587.746918601849
"trial30" -25.2167102194997 322.932594924693 448.144024623754 507.246452081544 545.058628615014 564.687797175123 574.338247492456 579.96750763448 585.420193825365 588.32390760265 589.535351170787 590.720870851414 594.683337027645
"trial31" -15.2358829768736 319.722590127739 446.928573099921 508.878718812016 542.507074837927 564.103556137649 574.635440660598 581.752034783818 583.934289138454 586.739642476313 590.290952981945 593.021169318349 589.615466871208
"trial32" -15.1535668612367 322.028108195389 447.28804807805 511.206072219938 544.051726743778 561.358562449435 573.97347448574 583.582314044582 586.848957180724 588.763542919703 587.699680105681 588.876825889577 587.32167638891
"trial33" -16.5823873891075 316.731066091594 448.586765445338 508.612113740736 543.132768216684 563.786755600173 576.686957045291 583.434110415497 586.673021048557 586.586125819225 586.960796101905 588.885016510117 593.198895206841
"trial34" -21.3509180142494 318.76345981233 448.571988407217 511.155607936837 542.858911320452 565.071425013646 575.510655701483 578.78580303487 585.630530010004 585.162846701874 586.225322285061 590.802966959658 61.3829012095641
"trial35" -9.79204359195602 324.253974368381 446.212607708576 509.462801494545 543.62700992889 564.264173689109 577.319656166797 581.3844991345 585.932427950542 587.090622113115 588.675802046268 -2.81251701034385 593.085073463053
"trial36" -21.4413024983782 316.956229660103 448.782245969834 508.400555673818 542.885554864818 564.027792371976 571.975158249123 583.517779019153 582.591988869513 588.764093418817 587.965473024371 590.478610800929 589.38025465686
"trial37" -16.7802072347618 319.238709155457 444.960743179825 506.623559524307 541.829680337307 565.977540067345 576.96899902734 583.796763252646 585.804520596943 20.5232853409086 9.54753617144213 587.812208418368 589.932580535827
"trial38" -18.8439261528018 320.571407045786 449.086135816288 507.232630554318 543.867772860367 564.534022933987 577.683697665075 581.843377569384 585.835816088418 585.925166098686 588.503155020452 589.12016719122 589.945583909588
"trial39" -16.0326910609164 319.848741087682 445.121123196584 508.183980342615 541.535592452059 563.685812635199 574.060440685143 577.474515984981 581.101953659419 583.414048355649 584.949431997404 583.936370223611 586.886963446735
"trial40" -20.3445251203304 319.701829509462 448.231329106644 506.41282733869 542.017685009725 562.939848331459 573.459291681644 581.958711890961 581.139445576003 583.877906068434 587.066675132812 591.060199739468 588.826609871496
"trial41" -22.2436908921562 325.029150798917 447.768442188848 508.286732078519 541.793370351879 564.674422956691 576.697362771044 582.184240631309 585.691959075115 586.604210005865 587.687457976596 590.668634525059 591.050231084503
"trial42" -18.9965460406501 319.07152229139 446.240370025441 506.781778012651 542.755362695389 564.111661785622 573.370530556764 578.270853919608 579.717852131685 584.664744439863 587.109798279871 589.493711233954 590.321008939528
"trial43" -23.5621708788373 322.805800942011 448.068765148139 508.514798725565 541.836530058795 561.802277819091 573.526152875021 581.294765200184 583.415569322849 586.513067605426 584.602536747967 589.344681756369 589.428691061125
"trial44" -17.4639856842032 319.901491559609 445.59589026302 508.778927301373 542.800779487897 561.900692514746 574.52925247494 582.747572247896 582.512311853926 24.6862201871628 587.537904321905 -4.47277698738223 589.783416936371
"trial45" -16.5086121113026 321.611800516645 445.524131389176 508.269739658803 546.087207542682 564.373311925724 576.902086530322 580.792790327768 585.231576868035 586.828888447953 585.736156443525 589.253578932498 591.690374992537
"trial46" -22.1458807894046 323.190829857948 446.874573227351 509.456422597044 544.060602725303 565.46629997243 575.998870441385 581.569573773088 584.873792856651 585.683647397365 585.486436315369 589.361883551222 592.036532774078
"trial47" -14.9675262349537 321.479983209099 445.208463339583 509.390478326032 542.542485876997 562.961571827668 575.819167984101 581.379746287967 583.343961194715 583.432028736085 587.370482403953 586.018935195889 588.357928970629
"trial48" -19.5997470410076 316.943759733257 447.496177491515 507.730199811072 543.589079564193 563.874885827955 573.762215936193 580.534686491192 585.633747799668 588.267893733562 587.049679433718 588.10215537982 588.011726649899
"trial49" -21.1955685827021 324.286103742925 448.255146672833 510.991409467445 543.119362050582 564.956822414101 574.301626566287 582.881248252112 584.995129055498 587.245093790817 587.755128141652 591.235356149525 585.999416749161
"trial50" -23.4189178668335 319.401295682692 447.575394801317 509.766377311615 542.448956979748 565.137687257931 575.279724424363 18.1177959153991 584.292205843958 -4.56625057532653 587.2852733361 588.941471405711 -12.8602712813479
